市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
スタンダード（内国株式）,2722.T,ＩＫホールディングス,1,471.0,44300
プライム（内国株式）,2726.T,パルグループホールディングス,1,2599.0,1099200
プライム（内国株式）,2730.T,エディオン,1,2191.0,439300
プライム（内国株式）,2733.T,あらた,4,3095.0,151400
プライム（内国株式）,2734.T,サーラコーポレーション,1,1064.0,123200
スタンダード（内国株式）,2735.T,ワッツ,4,654.0,31300
スタンダード（内国株式）,2736.T,フェスタリアホールディングス,4,597.0,4100
プライム（内国株式）,2737.T,トーメンデバイス,1,6710.0,33700
ETF・ETN,273A.T,ＳＢＩ　サウジアラビア株式上場投信,4,8980.0,572
プライム（内国株式）,2742.T,ハローズ,3,5030.0,26600
スタンダード（内国株式）,2743.T,ピクセルカンパニーズ,1,161.0,4934400
スタンダード（内国株式）,2747.T,北雄ラッキー,1,3155.0,400
プライム（内国株式）,2749.T,ＪＰホールディングス,1,611.0,533700
スタンダード（内国株式）,274A.T,ガーデン,1,2520.0,29700
スタンダード（内国株式）,2750.T,石光商事,1,1427.0,16500
スタンダード（内国株式）,2751.T,テンポスホールディングス,2,3440.0,5800
プライム（内国株式）,2752.T,フジオフードグループ本社,1,1186.0,439200
プライム（内国株式）,2753.T,あみやき亭,1,1564.0,26100
プライム（内国株式）,2760.T,東京エレクトロン　デバイス,1,3015.0,224000
スタンダード（内国株式）,2762.T,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,2,96.0,149300
スタンダード（内国株式）,2763.T,エフティグループ,1,1264.0,6500
スタンダード（内国株式）,2764.T,ひらまつ,4,123.0,176600
プライム（内国株式）,2767.T,円谷フィールズホールディングス,1,2211.0,996800
プライム（内国株式）,2768.T,双日,1,3961.0,2162300
スタンダード（内国株式）,2769.T,ヴィレッジヴァンガードコーポレーション,3,1020.0,9900
グロース（内国株式）,276A.T,ククレブ・アドバイザーズ,2,7090.0,79500
スタンダード（内国株式）,2776.T,新都ホールディングス,3,155.0,485700
スタンダード（内国株式）,2778.T,パレモ・ホールディングス,4,141.0,51000
グロース（内国株式）,277A.T,グロービング,3,2898.0,129800
スタンダード（内国株式）,2780.T,コメ兵ホールディングス,1,3040.0,71500
スタンダード（内国株式）,2782.T,セリア,1,3110.0,217200
プライム（内国株式）,2784.T,アルフレッサ　ホールディングス,2,2185.5,1356400
スタンダード（内国株式）,2788.T,アップルインターナショナル,2,352.0,61000
スタンダード（内国株式）,2789.T,カルラ,1,473.0,3400
グロース（内国株式）,278A.T,Ｔｅｒｒａ　Ｄｒｏｎｅ,4,3905.0,227100
スタンダード（内国株式）,2790.T,ナフコ,1,2035.0,16400
プライム（内国株式）,2791.T,大黒天物産,3,7470.0,53600
プライム（内国株式）,2792.T,ハニーズホールディングス,1,1553.0,63600
スタンダード（内国株式）,2795.T,日本プリメックス,4,880.0,2600
スタンダード（内国株式）,2796.T,ファーマライズホールディングス,1,525.0,13500
スタンダード（内国株式）,2798.T,ワイズテーブルコーポレーション,4,2901.0,1700
プライム（内国株式）,2801.T,キッコーマン,4,1291.0,4197600
プライム（内国株式）,2802.T,味の素,1,4198.0,4963800
プライム（内国株式）,2804.T,ブルドックソース,2,2115.0,15200
スタンダード（内国株式）,2805.T,ヱスビー食品,1,3370.0,28500
スタンダード（内国株式）,2806.T,ユタカフーズ,1,2057.0,1100
プライム（内国株式）,2809.T,キユーピー,2,4153.0,726100
グロース（内国株式）,280A.T,ＴＭＨ,6,1375.0,37200
プライム（内国株式）,2810.T,ハウス食品グループ本社,1,2941.0,269600
プライム（内国株式）,2811.T,カゴメ,1,2941.5,389800
スタンダード（内国株式）,2813.T,和弘食品,4,3205.0,3500
スタンダード（内国株式）,2814.T,佐藤食品工業,1,3340.0,1400
プライム（内国株式）,2815.T,アリアケジャパン,5,6200.0,112200
スタンダード（内国株式）,2816.T,ダイショー,1,1418.0,5000
スタンダード（内国株式）,2818.T,ピエトロ,1,1770.0,5100
スタンダード（内国株式）,2819.T,エバラ食品工業,1,2580.0,7900
グロース（内国株式）,281A.T,インフォメティス,4,1555.0,239200
スタンダード（内国株式）,2820.T,やまみ,1,5170.0,6000
ETF・ETN,282A.T,グローバルＸ　半導体・トップ１０－日本株式　ＥＴＦ,1,1180.0,92812
スタンダード（内国株式）,2830.T,アヲハタ,3,3715.0,6200
スタンダード（内国株式）,2831.T,はごろもフーズ,1,3395.0,4000
ETF・ETN,2836.T,グローバルＸ　フィンテック－日本株式　ＥＴＦ,1,3292.0,108
ETF・ETN,2837.T,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ,1,2728.0,3902
ETF・ETN,2838.T,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）,1,8414.0,57
ETF・ETN,2839.T,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）,1,5339.0,46
ETF・ETN,283A.T,グローバルＸ　ＵＳ　テック・配当貴族　ＥＴＦ,1,1083.0,3290
ETF・ETN,2840.T,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）,1,2080.0,216476
ETF・ETN,2841.T,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）,1,1446.0,44536
ETF・ETN,2842.T,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,4,14675.0,3206
ETF・ETN,2843.T,上場インデックスファンド豪州国債（為替ヘッジあり）,1,4000.0,240
ETF・ETN,2844.T,上場インデックスファンド豪州国債（為替ヘッジなし）,1,5132.0,388
ETF・ETN,2845.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信,1,3023.0,22800
ETF・ETN,2846.T,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信,1,2290.0,2820
ETF・ETN,2847.T,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ,1,2362.0,428
ETF・ETN,2848.T,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ,1,2386.0,206
ETF・ETN,2849.T,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ,1,4757.0,283
PRO Market,284A.T,フクヤ建設,1,2335.0,0
ETF・ETN,2851.T,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ,1,304.0,18820
ETF・ETN,2852.T,ｉシェアーズ　グリーンＪリート　ＥＴＦ,1,187.89999389648438,158770
ETF・ETN,2853.T,ｉシェアーズ　気候リスク調整世界国債　ＥＴＦ（除く日本・為替ヘッジあり）,1,644.2000122070312,10
ETF・ETN,2854.T,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ,1,1791.0,31175
ETF・ETN,2855.T,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ,1,1006.0,1181
ETF・ETN,2856.T,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）,1,686.2000122070312,53500
ETF・ETN,2857.T,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）,4,651.5,2070
ETF・ETN,2858.T,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）,1,1253.0,215
ETF・ETN,2859.T,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信,1,2766.0,3210
プライム（内国株式）,285A.T,キオクシアホールディングス,1,4530.0,24107200
ETF・ETN,2860.T,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,4,3080.0,38106
ETF・ETN,2861.T,上場インデックスファンドフランス国債（為替ヘッジなし）,1,5580.0,41
ETF・ETN,2862.T,上場インデックスファンドフランス国債（為替ヘッジあり）,6,4041.0,7
ETF・ETN,2863.T,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ米国株式・債券バランス保守型指数（為替ヘッジあり）連動型上場投信,1,1925.5,10
ETF・ETN,2864.T,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ,1,1204.0,118
ETF・ETN,2865.T,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ,1,1100.0,336258
ETF・ETN,2866.T,グローバルＸ　米国優先証券　ＥＴＦ,1,980.0,27469
ETF・ETN,2867.T,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ,1,1297.0,2305
ETF・ETN,2868.T,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ,1,1003.0,53295
ETF・ETN,2869.T,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ,1,56830.0,17543
グロース（内国株式）,286A.T,ユカリア,6,925.0,238300
ETF・ETN,2870.T,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース,4,11520.0,22032
プライム（内国株式）,2871.T,ニチレイ,6,1752.5,1892000
スタンダード（内国株式）,2872.T,セイヒョー,4,2053.0,1600
プライム（内国株式）,2874.T,横浜冷凍,1,1299.0,674800
プライム（内国株式）,2875.T,東洋水産,1,10705.0,442900
スタンダード（内国株式）,2876.T,デルソーレ,1,442.0,10700
スタンダード（内国株式）,2877.T,日東ベスト,4,747.0,900
スタンダード（内国株式）,287A.T,黒田グループ,3,886.0,1008500
プライム（内国株式）,2882.T,イートアンドホールディングス,4,2050.0,25300
スタンダード（内国株式）,2883.T,大冷,1,2023.0,8000
プライム（内国株式）,2884.T,ヨシムラ・フード・ホールディングス,1,914.0,73600
グロース（内国株式）,288A.T,ラクサス・テクノロジーズ,4,170.0,623200
スタンダード（内国株式）,2892.T,日本食品化工,1,3650.0,13900
スタンダード（内国株式）,2894.T,石井食品,1,321.0,6000
プライム（内国株式）,2897.T,日清食品ホールディングス,6,2858.0,1988000
スタンダード（内国株式）,2901.T,ウェルディッシュ,1,708.0,95400
スタンダード（内国株式）,2903.T,シノブフーズ,1,1585.0,25300
スタンダード（内国株式）,2904.T,一正蒲鉾,1,748.0,4100
スタンダード（内国株式）,2907.T,あじかん,1,1302.0,2500
プライム（内国株式）,2908.T,フジッコ,1,1669.0,62900
グロース（内国株式）,290A.T,Ｓｙｎｓｐｅｃｔｉｖｅ,5,948.0,4115100
プライム（内国株式）,2910.T,ロック・フィールド,4,1509.0,80800
スタンダード（内国株式）,2911.T,旭松食品,1,2294.0,900
