市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,9319.T,中央倉庫,1,1475.0,15800
スタンダード（内国株式）,9322.T,川西倉庫,1,1176.0,2600
プライム（内国株式）,9324.T,安田倉庫,1,2041.0,35000
スタンダード（内国株式）,9325.T,ファイズホールディングス,1,1247.0,33100
グロース（内国株式）,9326.T,関通,3,363.0,9200
スタンダード（内国株式）,9327.T,イー・ロジット,3,360.0,157700
グロース（内国株式）,9330.T,揚羽,1,934.0,159500
グロース（内国株式）,9331.T,キャスター,6,912.0,8500
プライム（内国株式）,9332.T,ＮＩＳＳＯホールディングス,1,673.0,58300
プライム（内国株式）,9336.T,大栄環境,6,3175.0,147900
グロース（内国株式）,9337.T,トリドリ,1,2208.0,5800
グロース（内国株式）,9338.T,ＩＮＦＯＲＩＣＨ,5,2699.0,196600
スタンダード（内国株式）,9339.T,コーチ・エィ,1,1032.0,3100
スタンダード（内国株式）,9340.T,アソインターナショナル,1,609.0,11100
プライム（内国株式）,9341.T,ＧＥＮＯＶＡ,6,728.0,238200
グロース（内国株式）,9342.T,スマサポ,1,1222.0,7100
グロース（内国株式）,9343.T,アイビス,2,3255.0,16600
グロース（内国株式）,9344.T,アクシスコンサルティング,1,774.0,4200
グロース（内国株式）,9345.T,ビズメイツ,1,2584.0,700
グロース（内国株式）,9346.T,ココルポート,1,1545.0,12700
プライム（内国株式）,9347.T,日本管財ホールディングス,1,2933.0,96800
グロース（内国株式）,9348.T,ｉｓｐａｃｅ,4,554.0,705000
スタンダード（内国株式）,9351.T,東洋埠頭,1,1553.0,19100
スタンダード（内国株式）,9353.T,櫻島埠頭,1,1717.0,11700
スタンダード（内国株式）,9355.T,リンコーコーポレーション,1,1786.0,1500
スタンダード（内国株式）,9360.T,鈴与シンワート,1,3155.0,1800
スタンダード（内国株式）,9361.T,伏木海陸運送,1,1627.0,100
スタンダード（内国株式）,9362.T,兵機海運,1,3650.0,500
スタンダード（内国株式）,9363.T,大運,1,428.0,6300
プライム（内国株式）,9364.T,上組,1,4297.0,197900
スタンダード（内国株式）,9365.T,トレーディア,1,1280.0,1600
スタンダード（内国株式）,9366.T,サンリツ,1,833.0,2100
スタンダード（内国株式）,9367.T,大東港運,1,790.0,100
スタンダード（内国株式）,9368.T,キムラユニティー,1,860.0,67200
スタンダード（内国株式）,9369.T,キユーソー流通システム,1,3405.0,43000
スタンダード（内国株式）,9376.T,ユーラシア旅行社,1,673.0,279700
スタンダード（内国株式）,9377.T,エージーピー,4,1540.0,24600
スタンダード（内国株式）,9380.T,東海運,1,341.0,39100
プライム（内国株式）,9381.T,エーアイテイー,1,1923.0,41800
スタンダード（内国株式）,9385.T,ショーエイコーポレーション,1,558.0,8200
プライム（内国株式）,9386.T,日本コンセプト,1,3055.0,118600
スタンダード（外国株式）,9399.T,ビート・ホールディングス・リミテッド,1,1298.0,27283
プライム（内国株式）,9401.T,ＴＢＳホールディングス,1,5242.0,272700
プライム（内国株式）,9404.T,日本テレビホールディングス,1,3605.0,611900
プライム（内国株式）,9405.T,朝日放送グループホールディングス,1,710.0,86300
スタンダード（内国株式）,9408.T,ＢＳＮメディアホールディングス,4,2109.0,300
プライム（内国株式）,9409.T,テレビ朝日ホールディングス,1,2975.0,245800
プライム（内国株式）,9412.T,スカパーＪＳＡＴホールディングス,1,1467.0,482100
プライム（内国株式）,9413.T,テレビ東京ホールディングス,1,4140.0,129500
スタンダード（内国株式）,9414.T,日本ＢＳ放送,1,927.0,17400
プライム（内国株式）,9416.T,ビジョン,5,1131.0,300800
スタンダード（内国株式）,9417.T,スマートバリュー,5,415.0,11900
プライム（内国株式）,9418.T,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,5,2180.0,772000
スタンダード（内国株式）,9419.T,ワイヤレスゲート,6,272.0,25600
スタンダード（内国株式）,9421.T,エヌジェイホールディングス,4,580.0,3100
スタンダード（内国株式）,9423.T,フォーバル・リアルストレート,3,111.0,353600
プライム（内国株式）,9424.T,日本通信,1,170.0,2409200
スタンダード（内国株式）,9425.T,ＲｅＹｕｕ　Ｊａｐａｎ,3,597.0,44400
スタンダード（内国株式）,9428.T,クロップス,1,1624.0,36400
プライム（内国株式）,9432.T,日本電信電話,6,154.3000030517578,110955500
プライム（内国株式）,9433.T,ＫＤＤＩ,1,2499.0,12469800
プライム（内国株式）,9434.T,ソフトバンク,1,227.5,81275100
